"Timestamp (EEST)","Odometer (mi)","Max Range (mi)","Max Ideal Range (mi)","Usable Capacity (kWh)"
"2022-06-01 06:04:03","0.00","335","328.84","74"
"2024-02-29 06:04:03","12622.00","328.84","328.84","72.49"
"2024-03-01 05:14:32","12639.00","332.09","332.09","73.28"
"2024-03-03 09:11:52","12769.00","328.01","328.01","72.08"
"2024-03-04 05:37:54","12830.00","332.09","332.09","73.09"
"2024-03-09 06:16:30","12957.00","330.34","330.34","72.61"
"2024-03-13 08:38:44","13051.00","325.48","325.48","71.45"
"2024-03-15 03:41:05","13084.00","328.26","328.26","72.42"
"2024-03-16 01:37:25","13115.00","323.30","323.30","70.98"
"2024-03-19 08:45:52","13182.00","323.30","323.30","71.06"
"2024-03-23 10:20:38","13246.00","323.70","323.70","71.24"
"2024-03-24 12:59:31","13384.00","323.72","323.72","71.13"
"2024-03-25 10:47:18","13515.00","324.64","324.64","71.52"
"2024-03-29 08:43:32","13612.00","326.61","326.61","71.88"
"2024-03-31 10:08:40","13658.00","323.92","323.92","71.23"
"2024-03-31 12:52:59","13667.00","322.99","322.99","70.66"
"2024-04-05 08:35:32","13773.00","324.07","324.07","71.34"
"2024-04-08 15:56:11","13854.00","325.13","325.13","71.45"
"2024-04-10 08:43:20","13882.00","322.18","322.18","70.85"
"2024-04-15 08:45:56","13961.00","324.11","324.11","71.20"
"2024-04-20 12:04:37","14062.00","325.25","325.25","71.65"
"2024-04-23 08:43:28","14153.00","323.30","323.30","71.03"
"2024-04-27 15:35:59","14223.00","323.62","323.62","71.22"
"2024-05-02 08:32:03","14356.00","324.96","324.96","71.57"
"2024-05-03 05:30:32","14410.00","319.78","319.78","70.52"
"2024-05-05 13:25:12","14432.00","321.55","321.55","70.74"
"2024-05-08 17:25:57","14597.00","327.38","327.38","71.94"
"2024-05-09 06:00:16","14609.00","325.37","325.37","71.65"
"2024-05-11 07:14:22","14647.00","324.68","324.68","71.20"
"2024-05-12 10:24:45","14769.00","325.41","325.41","71.55"
"2024-05-14 10:28:05","14802.00","324.68","324.68","71.54"
"2024-05-15 08:46:51","14933.00","320.57","320.57","70.50"
"2024-05-17 08:37:34","14982.00","321.98","321.98","70.95"
"2024-05-18 04:34:46","15005.00","320.11","320.11","70.31"
"2024-05-21 07:24:19","15080.00","317.88","317.88","69.81"
"2024-05-25 07:48:41","15159.00","318.69","318.69","70.14"
"2024-05-26 06:23:18","15216.00","319.47","319.47","70.08"
"2024-05-27 08:28:41","15326.00","320.48","320.48","70.51"
"2024-05-30 08:31:57","15392.00","317.86","317.86","70.07"
"2024-06-01 09:19:55","15426.00","319.45","319.45","70.47"
"2024-06-04 09:09:13","15492.00","319.45","319.45","70.22"
"2024-06-07 08:38:43","15562.00","319.56","319.56","70.22"
"2024-06-08 02:47:39","15571.00","319.47","319.47","70.20"
"2024-06-09 10:42:24","15656.00","319.47","319.47","70.23"
"2024-06-10 03:52:40","15683.00","319.41","319.41","70.06"
"2024-06-14 08:42:37","15762.00","320.38","320.38","70.36"
"2024-06-18 08:09:48","15867.00","320.39","320.39","70.57"
"2024-06-20 08:46:57","15916.00","317.43","317.43","69.86"
"2024-06-21 13:04:19","15956.00","319.54","319.54","69.94"
"2024-06-23 10:07:57","15982.00","317.12","317.12","69.87"
"2024-06-25 15:54:55","16054.00","315.30","315.30","69.37"
"2024-06-26 09:20:57","16075.00","317.16","317.16","69.64"
"2024-06-27 08:21:59","16206.00","317.85","317.85","69.80"
"2024-06-28 08:42:18","16226.00","317.88","317.88","69.73"
"2024-06-29 03:08:51","16243.00","317.12","317.12","70.36"
"2024-07-01 06:42:56","16311.00","317.13","317.13","69.65"
"2024-07-02 03:09:26","16327.00","318.18","318.18","70.00"
"2024-07-03 22:19:38","16357.00","317.13","317.13","69.53"
"2024-07-06 07:41:47","16397.00","317.94","317.94","70.03"
"2024-07-07 09:25:49","16523.00","317.18","317.18","69.83"
"2024-07-10 05:45:58","16624.00","319.74","319.74","70.53"
"2024-07-12 08:12:59","16668.00","317.48","317.48","69.76"
"2024-07-13 04:06:32","16684.00","317.48","317.48","70.01"
"2024-07-16 03:40:49","16734.00","317.48","317.48","69.63"
"2024-07-18 04:20:58","16776.00","317.48","317.48","69.98"
"2024-07-20 03:47:05","16809.00","317.48","317.48","69.99"
"2024-07-22 13:11:11","16865.00","317.50","317.50","69.62"
"2024-07-25 05:41:45","16920.00","317.48","317.48","69.94"
"2024-07-26 04:06:32","16951.00","317.48","317.48","70.14"
"2024-07-28 15:17:47","17033.00","319.53","319.53","70.09"
"2024-07-29 03:48:19","17047.00","317.48","317.48","69.89"
"2024-08-01 09:47:52","17083.00","316.74","316.74","69.63"
"2024-08-01 16:06:52","17202.00","320.26","320.26","70.46"
"2024-08-02 08:17:22","17240.00","315.60","315.60","69.48"
"2024-08-04 08:35:25","17326.00","313.91","313.91","69.15"
"2024-08-07 22:24:03","17416.00","314.92","314.92","69.57"
"2024-08-08 13:39:26","17509.00","314.92","314.92","69.31"
"2024-08-11 08:26:32","17597.00","314.20","314.20","69.02"
"2024-08-13 06:30:31","17652.00","314.02","314.02","68.96"
"2024-08-14 07:19:55","17693.00","313.12","313.12","68.94"
"2024-08-15 07:36:59","17732.00","314.06","314.06","68.94"
"2024-08-16 08:18:07","17767.00","314.06","314.06","69.04"
"2024-08-17 06:36:08","17800.00","314.00","314.00","69.34"
"2024-08-22 08:34:01","17864.00","313.15","313.15","68.87"
"2024-08-24 10:09:02","17914.00","312.84","312.84","68.65"
"2024-08-25 05:27:39","17944.00","312.31","312.31","68.60"
"2024-08-27 07:38:11","18018.00","312.31","312.31","68.84"
"2024-08-29 09:35:45","18083.00","312.31","312.31","68.81"
"2024-08-30 07:48:42","18100.00","312.50","312.50","68.79"
"2024-08-31 06:47:46","18216.00","313.48","313.48","68.89"
"2024-09-01 08:31:05","18325.00","312.76","312.76","68.74"
"2024-09-04 09:38:31","18442.00","311.12","311.12","68.51"
"2024-09-05 01:52:40","18486.00","312.76","312.76","68.54"
"2024-09-07 05:47:06","18525.00","312.76","312.76","68.71"
"2024-09-08 07:04:44","18553.00","312.76","312.76","69.07"
"2024-09-08 23:07:14","18587.00","312.07","312.07","68.45"
"2024-09-09 06:42:54","18681.00","312.31","312.31","68.53"
"2024-09-11 03:54:03","18718.00","312.31","312.31","68.66"
"2024-09-12 04:35:50","18735.00","312.31","312.31","68.31"
"2024-09-13 01:35:21","18759.00","312.31","312.31","68.34"
